,0
0,"«Touensa jew» (les tunisiens sont arrivés) est le titre de la reprise de Bella ciao qui commence à faire le tour des réseaux sociaux.    Le message choisi par la jeune Samar Toumi,  l’interprète de la chanson est simple : encourager la sélection qui entame à partir du lundi 18 juin 2018 son aventure à la coupe du monde Russie 2018 sans oublier la touche d'humour en évoquant ses adversaires au premier tour.       "
1,"Créé en 1951, ""Sanremo Giovani"" est un concours musical italien, qui a lieu chaque année sur la Riviera ligure, servant de sélection des chanteurs émergents pour l'événement musical le plus célèbre d’Italie : le ""Festival della Canzone Italiana di Sanremo"" (Le festival de la chanson italienne). Mahmood, grand vainqueur de Sanremo 2019 grâce à sa chanson “Soldi” , sera sur scène accompagné de nombre de protagonistes tels que Einar et Federica Abbate lors du premier concert de leur tournée mondiale, à la salle Versailles-Pavillon des Baies de Gammarth le 31 mars prochain à 21H.  Après la Tunisie, le groupe se produira à Tokyo le 3 avril 2019, puis s'envolera à plusieurs grandes villes du monde comme Sydney, Buones Aires, Toronto, Barcelone et Bruxelles. L’événement est promu par le Ministère des Affaires Étrangères et la Coopération Italienne, en collaboration avec la Rai et le Festival de Sanremo et réalisé par l’Istituto Italiano di Cultura di Tunisi – Ambassade d’Italie à Tunis.    "
2,"Après avoir chanté durant plus d'une heure, Saber Rebai a été obligé d'arrêter le concert à cause des intempéries, a rapporté le correspondant de Mosaïque FM à Tabarka. En effet, les fortes averses ont interrompu la soirée et plus de 4 mille spectateurs ont été obligés de quitter les gradins, après avoir patienté environ 30 minutes. "
3,"Le chanteur de rock français Dick Rivers est décédé mercredi, le jour même de son 74ème anniversaire, des suites d'un cancer, a rapporté l'AFP. Connu pour sa célèbre coiffure ""banane"", l'ex-leader du groupe Les Chats sauvages s'est éteint dans un hôpital parisien, a précisé son manager Denis Sabouret. "
4,"Après 12 mois de problèmes de santé, Céline Dion a fait une annonce très importante sur son compte Instagram. Elle va mieux… Beaucoup mieux même, au point que malgré ses soucis de santé, elle a continué à travailler et ce jeudi 3 mai, une nouvelle chanson est sortie. Céline Dion a lancé une nouvelle chanson en anglais. Comme la rumeur le voulait, la pièce, intitulée Ashes, est tirée du film de super-héros Deadpool 2, qui doit prendre l’affiche le 18 mai. On parle d’une ballade en puissance dotée d’un refrain sur lequel la diva peut montrer sa puissance vocale.  "
5,"Près d'une décennie après sa mort, Michael Jackson fait une réapparition, dans le nouvel album intitulé ""Scorpion"" du rappeur canadien Drake, sorti ce vendredi. La voix de Michael Jackson se reconnaît dans le chœur de ""Don't Matter To Me"", un des titres du 5e album studio de Drake, qui était très attendu.  ""Tout à coup, tu dis que tu ne veux plus de moi/ tout à coup, tu dis que j'ai fermé la porte/ cela m'est égal"", chante le ""roi de la pop"". Drake n'a pas donné de détail sur la génèse du titre. Mais Michael Jackson avait laissé une série de morceaux inachevés à sa mort en 2009. C'est à partir d'une maquette enregistrée par Michael Jackson qu'est sorti en 2014 ""Love Never Felt So Good, un ""duo posthume"" entre Jackson et Justin Timberlake. Comme ""Don't matter to me"", cette chanson est attribuée en partie au crooner Paul Anka, l'auteur de ""Put Your Head on My Shoulder"", avec lequel Jackson a travaillé en 1983 sur un album de duos. Le projet avait été mis de côté avec le succès de ""Thriller"", devenu ensuite l'album le plus vendu de l'histoire. ""Scorpion"" sort au lendemain de la mort de Joe Jackson, père de Michael, Jermaine et La Toya Jackson. Réputé autoritaire dans ses méthodes d'éducation, il avait fondé avec ses enfants les Jackson 5, dans lequel Michael Jackson a fait ses débuts encore jeune enfant. Dans une interview l'an dernier, Drake avait révélé que l'auteur de ""Bad"" et ""Off the Wall"" avait été un modèle pour lui. Il regrettait aussi d'être catalogué comme un rappeur. Dans son nouvel album de 25 titres, Drake reste dans le registre du rap, qui a fait de lui un des chanteurs ayant vendu le plus d'albums ces dernières années. Dans d'autres morceaux, il s'aventure davantage dans le domaine de la pop. Le rappeur Jay-Z apparaît sur ""Talk Up"" qui dénonce le président américain Donald Trump.  "
6,"""Arbail"" est le titre du duo entre Klay BBJ et le rappeur palestinien Ibrahim Ghounim alias  MC-Gaza qui était notre invité ce mercredi 9 janvier 2019 dans Bennet el FM.   ""Arbail est une lettre d'attaque non seulement destinée aux gouvernements arabes mais aussi aux peuples de la région. Actuellement un clip est en cours de tournage en attendant la publication officielle de cette chanson.   Le duo avec Klay BBJ était précédé par un duo avec Lotfi Bouchnak. Ibrahim Ghounim aura aussi un projet de duo avec Balti dans une chanson qui traitera le sujet de l'immigration clandestine.     "
7,"Le légendaire groupe Queen, avec pour chanteur Adam Lambert, ainsi que de nombreux autres artistes dont Pharrell Williams et Alicia Keys, seront à l'affiche du festival Global Citizen à New York en septembre, un événement visant à soutenir la lutte contre la pauvreté dans le monde. Le groupe pop OneRepublic, la chanteuse américaine H.E.R. et la compositrice Carole King se produiront également dans Central Park, au coeur de Manhattan, le 28 septembre, ont annoncé les organisateurs mardi. Global Citizen, qui coïncide chaque année avec la tenue de l'Assemblée générale des Nations unies, distribue gratuitement les billets à ceux qui promettent de se mobiliser contre la pauvreté. (AFP)   "
8,"La Tunisienne Héla Melki finaliste de la quatrième saison de The Voice, n'a pas réussi dans la soirée finale qui a eu lieu ce samedi 12 mai 2018 à décrocher le titre.   C'est l'iraquienne Doumouaa qui a décroché le titre de cette saison.   Quatre chanteurs ont réussi à atteindre cette finale: Issam Soltane, Héla Melki, Doumaa et Youssef Soltane.  "
9,"Le porte-parole du Tribunal administratif de Béja, Riadh Ben Bekri, a affirmé ce lundi 2 décembre 2019 à Mosaïque FM que le juge d'instruction chargé de l'affaire de l'accident de Amdoun avait autorisé de placer le responsable civil du bus en garde à vue. "
10,L'artiste tunisien Lotfi Bouchnak ne cesse d'innover. 'Madha Satafaal?' est sa dernière œuvre produite en coopération avec le rappeur palestinien Ibrahim Ghounim alias  MC-Gaza.  Le single accompagné par un clip a été lancé hier mercredi 14 novembre 2018. La chanson parle d'une façon simple mais percutante de la souffrance du peuple palestinien. Il s'agit d'un nouvel opus de l'artiste qui ne manque pas de rappeler son engagement pour les causes justes à travers le monde.     
11,"Soltane Attarab, George Wassouf a publié son nouveau clip ""Seket El  kALEM"" sur sa chaine youtube.  Les paroles de cette chanson ont été écrites par Atef Younes, composition Chaker Mouji et distribution Tony Saba. Le clip a quant à lui été réalisé par Ahmed Monjed. Vous découvrirez ce nouvel opus sur les ondes de Mosaique FM    "
12," Fini la chanson pour Fella Ababsa. Larmoyante,  la célèbre chanteuse algérienne “Soltanat Ettarb” annonce ce matin à travers une vidéo qu’elle ne reviendra jamais à la chanson et préfère se consacrer à sa santé et à autres choses de la vie … A la veille de la journée internationale de la femme, Fella El Djazairia confirme sa  décision : “J’arrête  définitivement  de chanter.  je ne veux plus chanter, j’ai préparé à mon public un nouveau et grand album  (…) Et ce sera mon dernier album”, a-t-elle dit. Avant de réitérer : “je ne reviens plus jamais sur ma décision […] Je veux entrer dans le monde des affaires et du business”. Interrogé sur les raisons de sa démission, la célèbre chanteuse algérienne a affirmé : d’abord le climat  n’est plus favorable : La célèbre chanteuse algérienne Fella Ababsa se sent blessée et méprisée dans son propre pays et pourtant, affirme-t-elle «  je suis une algérienne ».            "
